date,region,product,quantity,revenue,cost
2024-01-03,North,Widget A,120,2400.00,1200.00
2024-01-05,South,Widget B,85,1700.00,850.00
2024-01-07,East,Widget A,200,4000.00,2000.00
2024-01-10,West,Widget C,60,1800.00,900.00
2024-01-12,North,Widget B,95,1900.00,950.00
2024-01-15,South,Widget A,150,3000.00,1500.00
2024-01-18,East,Widget C,75,2250.00,1125.00
2024-01-20,West,Widget A,110,2200.00,1100.00
2024-01-22,North,Widget C,45,1350.00,675.00
2024-01-25,South,Widget B,130,2600.00,1300.00
2024-02-01,North,Widget A,140,2800.00,1400.00
2024-02-03,East,Widget B,90,1800.00,900.00
2024-02-06,West,Widget A,175,3500.00,1750.00
2024-02-08,South,Widget C,55,1650.00,825.00
2024-02-11,North,Widget B,100,2000.00,1000.00
2024-02-14,East,Widget A,165,3300.00,1650.00
2024-02-17,West,Widget B,80,1600.00,800.00
2024-02-20,South,Widget A,195,3900.00,1950.00
2024-02-23,North,Widget C,70,2100.00,1050.00
2024-02-25,East,Widget B,115,2300.00,1150.00
2024-03-01,West,Widget A,155,3100.00,1550.00
2024-03-04,South,Widget C,50,1500.00,750.00
2024-03-07,North,Widget A,180,3600.00,1800.00
2024-03-10,East,Widget B,105,2100.00,1050.00
2024-03-13,West,Widget C,85,2550.00,1275.00
2024-03-16,South,Widget A,125,2500.00,1250.00
2024-03-19,North,Widget B,95,1900.00,950.00
2024-03-22,East,Widget A,210,4200.00,2100.00
2024-03-25,West,Widget B,70,1400.00,700.00
2024-03-28,South,Widget C,65,1950.00,975.00
2024-04-01,North,Widget A,145,2900.00,1450.00
2024-04-04,East,Widget C,80,2400.00,1200.00
2024-04-07,West,Widget A,190,3800.00,1900.00
2024-04-10,South,Widget B,110,2200.00,1100.00
2024-04-13,North,Widget C,55,1650.00,825.00
2024-04-16,East,Widget A,170,3400.00,1700.00
2024-04-19,West,Widget B,90,1800.00,900.00
2024-04-22,South,Widget A,200,4000.00,2000.00
2024-04-25,North,Widget B,75,1500.00,750.00
2024-04-28,East,Widget C,60,1800.00,900.00
2024-05-01,West,Widget A,160,3200.00,1600.00
2024-05-04,South,Widget C,45,1350.00,675.00
2024-05-07,North,Widget A,185,3700.00,1850.00
2024-05-10,East,Widget B,115,2300.00,1150.00
2024-05-13,West,Widget C,70,2100.00,1050.00
2024-05-16,South,Widget A,140,2800.00,1400.00
2024-05-19,North,Widget B,100,2000.00,1000.00
2024-05-22,East,Widget A,220,4400.00,2200.00
2024-05-25,West,Widget B,85,1700.00,850.00
2024-05-28,South,Widget C,60,1800.00,900.00
